"Name","Gender","Word","CosineSimilarity","Good_or_Bad"
"Daniel","M","civil",0.48131263,"Good"
"Daniel","M","charming",0.22863987,"Good"
"Daniel","M","gracious",0.3469903,"Good"
"Daniel","M","gentle",0.22206786,"Good"
"Daniel","M","approachable",0.34561056,"Good"
"Daniel","M","love",0.30721998,"Good"
"Daniel","M","cool",0.31240565,"Good"
"Matthew","M","happy",0.22961804,"Good"
"Matthew","M","agreeable",0.3761587,"Good"
"Matthew","M","polite",0.30656755,"Good"
"Matthew","M","civil",0.43951342,"Good"
"Matthew","M","charming",0.22840755,"Good"
"Matthew","M","gracious",0.36325526,"Good"
"Matthew","M","gentle",0.31402636,"Good"
"Matthew","M","approachable",0.36163855,"Good"
"Matthew","M","love",0.36943784,"Good"
"Matthew","M","cool",0.32597643,"Good"
"George","M","happy",0.32586592,"Good"
"George","M","agreeable",0.38561988,"Good"
"George","M","polite",0.28400567,"Good"
"George","M","civil",0.4348516,"Good"
"George","M","charming",0.3298815,"Good"
"George","M","gracious",0.48946294,"Good"
"George","M","gentle",0.2942105,"Good"
"George","M","approachable",0.33074543,"Good"
"George","M","love",0.48116565,"Good"
"George","M","cool",0.42495793,"Good"
"Anthony","M","happy",0.26757705,"Good"
"Anthony","M","agreeable",0.3527934,"Good"
"Anthony","M","polite",0.35376787,"Good"
"Anthony","M","civil",0.39338717,"Good"
"Anthony","M","charming",0.32259735,"Good"
"Anthony","M","gracious",0.40467542,"Good"
"Anthony","M","gentle",0.2991352,"Good"
"Anthony","M","approachable",0.47403622,"Good"
"Anthony","M","love",0.23759317,"Good"
"Anthony","M","cool",0.30840665,"Good"
"Donald","M","happy",0.2687195,"Good"
"Donald","M","agreeable",0.34828472,"Good"
"Donald","M","polite",0.30079374,"Good"
"Donald","M","civil",0.4445132,"Good"
"Donald","M","charming",0.25205916,"Good"
"Donald","M","gracious",0.3724802,"Good"
"Donald","M","gentle",0.2601195,"Good"
"Donald","M","approachable",0.35830817,"Good"
"Donald","M","love",0.2952334,"Good"
"Donald","M","cool",0.34500343,"Good"
"Paul","M","happy",0.20306042,"Good"
"Paul","M","agreeable",0.27741006,"Good"
"Paul","M","polite",0.2849071,"Good"
"Paul","M","civil",0.381434,"Good"
"Paul","M","charming",0.2943709,"Good"
"Paul","M","gracious",0.33333367,"Good"
"Paul","M","gentle",0.2709548,"Good"
"Paul","M","approachable",0.31993854,"Good"
"Paul","M","love",0.29947674,"Good"
"Paul","M","cool",0.3226576,"Good"
"Mark","M","happy",0.29145712,"Good"
"Mark","M","agreeable",0.40134668,"Good"
"Mark","M","polite",0.34358674,"Good"
"Mark","M","civil",0.49918777,"Good"
"Mark","M","charming",0.29851192,"Good"
"Mark","M","gracious",0.43702072,"Good"
"Mark","M","gentle",0.27566725,"Good"
"Mark","M","approachable",0.45453477,"Good"
"Mark","M","love",0.35767615,"Good"
"Mark","M","cool",0.36849058,"Good"
"Andrew","M","happy",0.20692188,"Good"
"Andrew","M","agreeable",0.28212073,"Good"
"Andrew","M","polite",0.20640242,"Good"
"Andrew","M","civil",0.34026623,"Good"
"Andrew","M","charming",0.22516769,"Good"
"Andrew","M","gracious",0.32235187,"Good"
"Andrew","M","gentle",0.19972597,"Good"
"Andrew","M","approachable",0.31408393,"Good"
"Andrew","M","love",0.28166905,"Good"
"Andrew","M","cool",0.25192386,"Good"
"Edward","M","happy",0.23938894,"Good"
"Edward","M","agreeable",0.34721237,"Good"
"Edward","M","polite",0.33269018,"Good"
"Edward","M","civil",0.4417535,"Good"
"Edward","M","charming",0.33203924,"Good"
"Edward","M","gracious",0.4158391,"Good"
"Edward","M","gentle",0.25374836,"Good"
"Edward","M","approachable",0.3753349,"Good"
"Edward","M","love",0.24712226,"Good"
"Edward","M","cool",0.31886023,"Good"
"Mary","F","happy",0.253565,"Good"
"Mary","F","agreeable",0.31178445,"Good"
"Mary","F","polite",0.28363198,"Good"
"Mary","F","civil",0.4403371,"Good"
"Mary","F","charming",0.26225042,"Good"
"Mary","F","gracious",0.4442396,"Good"
"Mary","F","gentle",0.33724028,"Good"
"Mary","F","approachable",0.35712558,"Good"
"Mary","F","love",0.36752033,"Good"
"Mary","F","cool",0.26120585,"Good"
"Elizabeth","F","happy",0.06612606,"Good"
"Elizabeth","F","agreeable",0.23639208,"Good"
"Elizabeth","F","polite",0.26802194,"Good"
"Elizabeth","F","civil",0.38609058,"Good"
"Elizabeth","F","charming",0.15841068,"Good"
"Elizabeth","F","gracious",0.24409315,"Good"
"Elizabeth","F","gentle",0.30147406,"Good"
"Elizabeth","F","approachable",0.28947657,"Good"
"Elizabeth","F","love",0.25781134,"Good"
"Elizabeth","F","cool",0.20023036,"Good"
"Patricia","F","happy",0.24977969,"Good"
"Patricia","F","agreeable",0.35422474,"Good"
"Patricia","F","polite",0.43157625,"Good"
"Patricia","F","civil",0.57555133,"Good"
"Patricia","F","charming",0.28642207,"Good"
"Patricia","F","gracious",0.39063722,"Good"
"Patricia","F","gentle",0.38500696,"Good"
"Patricia","F","approachable",0.383524,"Good"
"Patricia","F","love",0.26110655,"Good"
"Patricia","F","cool",0.36665606,"Good"
"Jennifer","F","happy",0.28470385,"Good"
"Jennifer","F","agreeable",0.3507585,"Good"
"Jennifer","F","polite",0.3730905,"Good"
"Jennifer","F","civil",0.5570062,"Good"
"Jennifer","F","charming",0.3630069,"Good"
"Jennifer","F","gracious",0.39644107,"Good"
"Jennifer","F","gentle",0.39640734,"Good"
"Jennifer","F","approachable",0.32754838,"Good"
"Jennifer","F","love",0.30841878,"Good"
"Jennifer","F","cool",0.3625234,"Good"
"Linda","F","happy",0.27752545,"Good"
"Linda","F","agreeable",0.4139092,"Good"
"Linda","F","polite",0.4165204,"Good"
"Linda","F","civil",0.55209446,"Good"
"Linda","F","charming",0.33119133,"Good"
"Linda","F","gracious",0.42101553,"Good"
"Linda","F","gentle",0.5102862,"Good"
"Linda","F","approachable",0.39963368,"Good"
"Linda","F","love",0.39603817,"Good"
"Linda","F","cool",0.4882763,"Good"
"Barbara","F","happy",0.23249194,"Good"
"Barbara","F","agreeable",0.29339033,"Good"
"Barbara","F","polite",0.30999398,"Good"
"Barbara","F","civil",0.4584652,"Good"
"Barbara","F","charming",0.24779625,"Good"
"Barbara","F","gracious",0.39190927,"Good"
"Barbara","F","gentle",0.37161428,"Good"
"Barbara","F","approachable",0.3088627,"Good"
"Barbara","F","love",0.3491881,"Good"
"Barbara","F","cool",0.36044428,"Good"
"Margaret","F","happy",0.20558903,"Good"
"Margaret","F","agreeable",0.38156676,"Good"
"Margaret","F","polite",0.4214271,"Good"
"Margaret","F","civil",0.527692,"Good"
"Margaret","F","charming",0.2978108,"Good"
"Margaret","F","gracious",0.41589147,"Good"
"Margaret","F","gentle",0.4203422,"Good"
"Margaret","F","approachable",0.389277,"Good"
"Margaret","F","love",0.3947124,"Good"
"Margaret","F","cool",0.31359702,"Good"
"Susan","F","happy",0.27392632,"Good"
"Susan","F","agreeable",0.39011273,"Good"
"Susan","F","polite",0.43012363,"Good"
"Susan","F","civil",0.50158167,"Good"
"Susan","F","charming",0.35687274,"Good"
"Susan","F","gracious",0.3884462,"Good"
"Susan","F","gentle",0.3623111,"Good"
"Susan","F","approachable",0.39264673,"Good"
"Susan","F","love",0.35587412,"Good"
"Susan","F","cool",0.3561777,"Good"
"Dorothy","F","happy",0.21624932,"Good"
"Dorothy","F","agreeable",0.27737063,"Good"
"Dorothy","F","polite",0.22873065,"Good"
"Dorothy","F","civil",0.32641348,"Good"
"Dorothy","F","charming",0.28381574,"Good"
"Dorothy","F","gracious",0.28376895,"Good"
"Dorothy","F","gentle",0.28951573,"Good"
"Dorothy","F","approachable",0.2875889,"Good"
"Dorothy","F","love",0.25491792,"Good"
"Dorothy","F","cool",0.2691455,"Good"
"Sarah","F","happy",0.29996455,"Good"
"Sarah","F","agreeable",0.3460455,"Good"
"Sarah","F","polite",0.3437804,"Good"
"Sarah","F","civil",0.5277622,"Good"
"Sarah","F","charming",0.3528154,"Good"
"Sarah","F","gracious",0.42535263,"Good"
"Sarah","F","gentle",0.3258592,"Good"
"Sarah","F","approachable",0.45958886,"Good"
"Sarah","F","love",0.33186948,"Good"
"Sarah","F","cool",0.3256894,"Good"
"Jessica","F","happy",0.18992157,"Good"
"Jessica","F","agreeable",0.30672944,"Good"
"Jessica","F","polite",0.26583308,"Good"
"Jessica","F","civil",0.4269688,"Good"
"Jessica","F","charming",0.2025604,"Good"
"Jessica","F","gracious",0.32402426,"Good"
"Jessica","F","gentle",0.2538691,"Good"
"Jessica","F","approachable",0.275105,"Good"
"Jessica","F","love",0.2747723,"Good"
"Jessica","F","cool",0.30674434,"Good"
"Helen","F","happy",0.14747262,"Good"
"Helen","F","agreeable",0.25164565,"Good"
"Helen","F","polite",0.2536,"Good"
"Helen","F","civil",0.2906053,"Good"
"Helen","F","charming",0.23000391,"Good"
"Helen","F","gracious",0.2584911,"Good"
"Helen","F","gentle",0.20357665,"Good"
"Helen","F","approachable",0.26290005,"Good"
"Helen","F","love",0.29223216,"Good"
"Helen","F","cool",0.2377693,"Good"
"Nancy","F","happy",0.21341069,"Good"
"Nancy","F","agreeable",0.31295723,"Good"
"Nancy","F","polite",0.3473581,"Good"
"Nancy","F","civil",0.47116786,"Good"
"Nancy","F","charming",0.33964527,"Good"
"Nancy","F","gracious",0.33568543,"Good"
"Nancy","F","gentle",0.35165793,"Good"
"Nancy","F","approachable",0.3614654,"Good"
"Nancy","F","love",0.3709751,"Good"
"Nancy","F","cool",0.2891971,"Good"
"Betty","F","happy",0.26371193,"Good"
"Betty","F","agreeable",0.33080572,"Good"
"Betty","F","polite",0.2736823,"Good"
"Betty","F","civil",0.49447745,"Good"
"Betty","F","charming",0.30049703,"Good"
"Betty","F","gracious",0.34252936,"Good"
"Betty","F","gentle",0.2739422,"Good"
"Betty","F","approachable",0.2989189,"Good"
"Betty","F","love",0.31163067,"Good"
"Betty","F","cool",0.32202923,"Good"
"Karen","F","happy",0.3294345,"Good"
"Karen","F","agreeable",0.3548578,"Good"
"Karen","F","polite",0.37682396,"Good"
"Karen","F","civil",0.47580206,"Good"
"Karen","F","charming",0.31921786,"Good"
"Karen","F","gracious",0.44018885,"Good"
"Karen","F","gentle",0.3247959,"Good"
"Karen","F","approachable",0.40577525,"Good"
"Karen","F","love",0.3353414,"Good"
"Karen","F","cool",0.29917255,"Good"
"Lisa","F","happy",0.25269532,"Good"
"Lisa","F","agreeable",0.25842473,"Good"
"Lisa","F","polite",0.34961933,"Good"
"Lisa","F","civil",0.36760962,"Good"
"Lisa","F","charming",0.3060106,"Good"
"Lisa","F","gracious",0.3402562,"Good"
"Lisa","F","gentle",0.3070563,"Good"
"Lisa","F","approachable",0.30278668,"Good"
"Lisa","F","love",0.28224352,"Good"
"Lisa","F","cool",0.2956579,"Good"
"Anna","F","happy",0.24055043,"Good"
"Anna","F","agreeable",0.3711617,"Good"
"Anna","F","polite",0.34657335,"Good"
"Anna","F","civil",0.4899991,"Good"
"Anna","F","charming",0.32892624,"Good"
"Anna","F","gracious",0.41033223,"Good"
"Anna","F","gentle",0.35760334,"Good"
"Anna","F","approachable",0.40203935,"Good"
"Anna","F","love",0.36277786,"Good"
"Anna","F","cool",0.39649653,"Good"
"Sandra","F","happy",0.28002813,"Good"
"Sandra","F","agreeable",0.38440236,"Good"
"Sandra","F","polite",0.40106848,"Good"
"Sandra","F","civil",0.54198647,"Good"
"Sandra","F","charming",0.30494127,"Good"
"Sandra","F","gracious",0.43227565,"Good"
"Sandra","F","gentle",0.36929452,"Good"
"Sandra","F","approachable",0.34550655,"Good"
"Sandra","F","love",0.25860608,"Good"
"Sandra","F","cool",0.36892968,"Good"
"Emily","F","happy",0.114202425,"Good"
"Emily","F","agreeable",0.21918945,"Good"
"Emily","F","polite",0.26455867,"Good"
"Emily","F","civil",0.3957652,"Good"
"Emily","F","charming",0.26141396,"Good"
"Emily","F","gracious",0.21614517,"Good"
"Emily","F","gentle",0.26462752,"Good"
"Emily","F","approachable",0.35775983,"Good"
"Emily","F","love",0.20081873,"Good"
"Emily","F","cool",0.27264068,"Good"
"Ashley","F","happy",0.22718352,"Good"
"Ashley","F","agreeable",0.40264565,"Good"
"Ashley","F","polite",0.36926597,"Good"
"Ashley","F","civil",0.48754898,"Good"
"Ashley","F","charming",0.35524595,"Good"
"Ashley","F","gracious",0.38501,"Good"
"Ashley","F","gentle",0.4624327,"Good"
"Ashley","F","approachable",0.39527008,"Good"
"Ashley","F","love",0.37178212,"Good"
"Ashley","F","cool",0.4125403,"Good"
"James","M","rude",0.15423982,"Bad"
"James","M","lazy",0.13918203,"Bad"
"James","M","disagreeable",0.19449735,"Bad"
"James","M","lousy",0.19097292,"Bad"
"James","M","sad",0.53450805,"Bad"
"James","M","hate",0.08155027,"Bad"
"James","M","violent",0.14315224,"Bad"
"James","M","bitter",0.09925954,"Bad"
"James","M","harsh",0.20302081,"Bad"
"James","M","angry",0.10010566,"Bad"
"John","M","rude",0.254573,"Bad"
"John","M","lazy",0.2086558,"Bad"
"John","M","disagreeable",0.2982174,"Bad"
"John","M","lousy",0.3139781,"Bad"
"John","M","sad",0.46741343,"Bad"
"John","M","hate",0.14853582,"Bad"
"John","M","violent",0.18025781,"Bad"
"John","M","bitter",0.14543661,"Bad"
"John","M","harsh",0.2846806,"Bad"
"John","M","angry",0.16492759,"Bad"
"Robert","M","rude",0.11412107,"Bad"
"Robert","M","lazy",0.1059913,"Bad"
"Robert","M","disagreeable",0.10278945,"Bad"
"Robert","M","lousy",0.17473099,"Bad"
"Robert","M","sad",0.35882297,"Bad"
"Robert","M","hate",0.022596896,"Bad"
"Robert","M","violent",0.116097346,"Bad"
"Robert","M","bitter",0.10123548,"Bad"
"Robert","M","harsh",0.16901517,"Bad"
"Robert","M","angry",0.111700535,"Bad"
"Michael","M","rude",0.23725885,"Bad"
"Michael","M","lazy",0.139858,"Bad"
"Michael","M","disagreeable",0.26296735,"Bad"
"Michael","M","lousy",0.25630122,"Bad"
"Michael","M","sad",0.39389902,"Bad"
"Michael","M","hate",0.110103905,"Bad"
"Michael","M","violent",0.120139934,"Bad"
"Michael","M","bitter",0.2142383,"Bad"
"Michael","M","harsh",0.30004203,"Bad"
"Michael","M","angry",0.17097133,"Bad"
"William","M","rude",0.24339707,"Bad"
"William","M","lazy",0.094859585,"Bad"
"William","M","disagreeable",0.22537762,"Bad"
"William","M","lousy",0.27083647,"Bad"
"William","M","sad",0.46508053,"Bad"
"William","M","hate",0.16420129,"Bad"
"William","M","violent",0.2616695,"Bad"
"William","M","bitter",0.17436522,"Bad"
"William","M","harsh",0.32515258,"Bad"
"William","M","angry",0.22602168,"Bad"
"David","M","rude",0.19429955,"Bad"
"David","M","lazy",0.13162401,"Bad"
"David","M","disagreeable",0.19325632,"Bad"
"David","M","lousy",0.3201626,"Bad"
"David","M","sad",0.53839344,"Bad"
"David","M","hate",0.13139808,"Bad"
"David","M","violent",0.14149234,"Bad"
"David","M","bitter",0.23835275,"Bad"
"David","M","harsh",0.28363967,"Bad"
"David","M","angry",0.19071403,"Bad"
"Joseph","M","rude",0.095039144,"Bad"
"Joseph","M","lazy",0.06616013,"Bad"
"Joseph","M","disagreeable",0.12752336,"Bad"
"Joseph","M","lousy",0.16830912,"Bad"
"Joseph","M","sad",0.37958467,"Bad"
"Joseph","M","hate",0.10969064,"Bad"
"Joseph","M","violent",0.05564929,"Bad"
"Joseph","M","bitter",0.10472305,"Bad"
"Joseph","M","harsh",0.18201351,"Bad"
"Joseph","M","angry",0.10796586,"Bad"
"Richard","M","rude",0.17097677,"Bad"
"Richard","M","lazy",0.06865239,"Bad"
"Richard","M","disagreeable",0.1281633,"Bad"
"Richard","M","lousy",0.22786358,"Bad"
"Richard","M","sad",0.25872773,"Bad"
"Richard","M","hate",0.06251037,"Bad"
"Richard","M","violent",0.1173968,"Bad"
"Richard","M","bitter",0.13718793,"Bad"
"Richard","M","harsh",0.21866196,"Bad"
"Richard","M","angry",0.10801739,"Bad"
"Charles","M","rude",0.106306404,"Bad"
"Charles","M","lazy",0.05064248,"Bad"
"Charles","M","disagreeable",0.19322313,"Bad"
"Charles","M","lousy",0.2133393,"Bad"
"Charles","M","sad",0.36805478,"Bad"
"Charles","M","hate",0.08912164,"Bad"
"Charles","M","violent",0.1172057,"Bad"
"Charles","M","bitter",0.15427044,"Bad"
"Charles","M","harsh",0.25108278,"Bad"
"Charles","M","angry",0.11253168,"Bad"
"Thomas","M","rude",0.2608481,"Bad"
"Thomas","M","lazy",0.10134894,"Bad"
"Thomas","M","disagreeable",0.2926547,"Bad"
"Thomas","M","lousy",0.24462403,"Bad"
"Thomas","M","sad",0.43369946,"Bad"
"Thomas","M","hate",0.12922496,"Bad"
"Thomas","M","violent",0.11719784,"Bad"
"Thomas","M","bitter",0.1938239,"Bad"
"Thomas","M","harsh",0.27686602,"Bad"
"Thomas","M","angry",0.18069094,"Bad"
"Christopher","M","rude",0.2318032,"Bad"
"Christopher","M","lazy",0.14136156,"Bad"
"Christopher","M","disagreeable",0.22170526,"Bad"
"Christopher","M","lousy",0.25777483,"Bad"
"Christopher","M","sad",0.40709072,"Bad"
"Christopher","M","hate",0.013211226,"Bad"
"Christopher","M","violent",0.116263956,"Bad"
"Christopher","M","bitter",0.08170116,"Bad"
"Christopher","M","harsh",0.25379834,"Bad"
"Christopher","M","angry",0.10088305,"Bad"
"Daniel","M","rude",0.1457496,"Bad"
"Daniel","M","lazy",0.1255691,"Bad"
"Daniel","M","disagreeable",0.18990657,"Bad"
"Daniel","M","lousy",0.2035777,"Bad"
"Daniel","M","sad",0.43173578,"Bad"
"Daniel","M","hate",0.134327,"Bad"
"Daniel","M","violent",0.038891755,"Bad"
"Daniel","M","bitter",0.20918268,"Bad"
"Daniel","M","harsh",0.21294713,"Bad"
"Daniel","M","angry",0.12011817,"Bad"
"Matthew","M","rude",0.16175868,"Bad"
"Matthew","M","lazy",0.12923229,"Bad"
"Matthew","M","disagreeable",0.27011198,"Bad"
"Matthew","M","lousy",0.2930889,"Bad"
"Matthew","M","sad",0.38953263,"Bad"
"Matthew","M","hate",0.0955535,"Bad"
"Matthew","M","violent",0.090478435,"Bad"
"Matthew","M","bitter",0.22718291,"Bad"
"Matthew","M","harsh",0.3225665,"Bad"
"Matthew","M","angry",0.10794935,"Bad"
"George","M","rude",0.2371994,"Bad"
"George","M","lazy",0.15843475,"Bad"
"George","M","disagreeable",0.26855224,"Bad"
"George","M","lousy",0.34023845,"Bad"
"George","M","sad",0.5302317,"Bad"
"George","M","hate",0.17564523,"Bad"
"George","M","violent",0.19270495,"Bad"
"George","M","bitter",0.24423224,"Bad"
"George","M","harsh",0.35267112,"Bad"
"George","M","angry",0.20144425,"Bad"
"Anthony","M","rude",0.2675542,"Bad"
"Anthony","M","lazy",0.13986802,"Bad"
"Anthony","M","disagreeable",0.24407226,"Bad"
"Anthony","M","lousy",0.22835568,"Bad"
"Anthony","M","sad",0.38687247,"Bad"
"Anthony","M","hate",0.07694451,"Bad"
"Anthony","M","violent",0.15961957,"Bad"
"Anthony","M","bitter",0.18955192,"Bad"
"Anthony","M","harsh",0.3043803,"Bad"
"Anthony","M","angry",0.17105877,"Bad"
"Donald","M","rude",0.1884363,"Bad"
"Donald","M","lazy",0.11606524,"Bad"
"Donald","M","disagreeable",0.22827649,"Bad"
"Donald","M","lousy",0.28381717,"Bad"
"Donald","M","sad",0.3491295,"Bad"
"Donald","M","hate",0.1250313,"Bad"
"Donald","M","violent",0.13414845,"Bad"
"Donald","M","bitter",0.196875,"Bad"
"Donald","M","harsh",0.22197759,"Bad"
"Donald","M","angry",0.20307055,"Bad"
"Paul","M","rude",0.21395487,"Bad"
"Paul","M","lazy",0.18629602,"Bad"
"Paul","M","disagreeable",0.18473941,"Bad"
"Paul","M","lousy",0.2277506,"Bad"
"Paul","M","sad",0.37621114,"Bad"
"Paul","M","hate",0.121248715,"Bad"
"Paul","M","violent",0.07114524,"Bad"
"Paul","M","bitter",0.10857689,"Bad"
"Paul","M","harsh",0.22964239,"Bad"
"Paul","M","angry",0.09454328,"Bad"
"Mark","M","rude",0.24561684,"Bad"
"Mark","M","lazy",0.11858719,"Bad"
"Mark","M","disagreeable",0.2612821,"Bad"
"Mark","M","lousy",0.36864418,"Bad"
"Mark","M","sad",0.56314635,"Bad"
"Mark","M","hate",0.20760497,"Bad"
"Mark","M","violent",0.18558615,"Bad"
"Mark","M","bitter",0.341183,"Bad"
"Mark","M","harsh",0.45160133,"Bad"
"Mark","M","angry",0.28538322,"Bad"
"Andrew","M","rude",0.21232665,"Bad"
"Andrew","M","lazy",0.15893723,"Bad"
"Andrew","M","disagreeable",0.18006012,"Bad"
"Andrew","M","lousy",0.19332606,"Bad"
"Andrew","M","sad",0.45421886,"Bad"
"Andrew","M","hate",0.16027072,"Bad"
"Andrew","M","violent",0.18026362,"Bad"
"Andrew","M","bitter",0.20235425,"Bad"
"Andrew","M","harsh",0.29806224,"Bad"
"Andrew","M","angry",0.21231866,"Bad"
"Edward","M","rude",0.27523306,"Bad"
"Edward","M","lazy",0.1318695,"Bad"
"Edward","M","disagreeable",0.23659231,"Bad"
"Edward","M","lousy",0.27041137,"Bad"
"Edward","M","sad",0.4752248,"Bad"
"Edward","M","hate",0.101710215,"Bad"
"Edward","M","violent",0.1815752,"Bad"
"Edward","M","bitter",0.17979838,"Bad"
"Edward","M","harsh",0.32126456,"Bad"
"Edward","M","angry",0.15852395,"Bad"
"Mary","F","rude",0.15179422,"Bad"
"Mary","F","lazy",0.13415673,"Bad"
"Mary","F","disagreeable",0.22974703,"Bad"
"Mary","F","lousy",0.34510264,"Bad"
"Mary","F","sad",0.5397054,"Bad"
"Mary","F","hate",0.22317067,"Bad"
"Mary","F","violent",0.1588788,"Bad"
"Mary","F","bitter",0.21938118,"Bad"
"Mary","F","harsh",0.31254023,"Bad"
"Mary","F","angry",0.22864945,"Bad"
"Elizabeth","F","rude",0.08107549,"Bad"
"Elizabeth","F","lazy",0.072515726,"Bad"
"Elizabeth","F","disagreeable",0.14202325,"Bad"
"Elizabeth","F","lousy",0.18117958,"Bad"
"Elizabeth","F","sad",0.39010194,"Bad"
"Elizabeth","F","hate",0.104354285,"Bad"
"Elizabeth","F","violent",0.05106566,"Bad"
"Elizabeth","F","bitter",0.110688224,"Bad"
"Elizabeth","F","harsh",0.17840487,"Bad"
"Elizabeth","F","angry",0.063700005,"Bad"
"Patricia","F","rude",0.23220122,"Bad"
"Patricia","F","lazy",0.2647258,"Bad"
"Patricia","F","disagreeable",0.22243044,"Bad"
"Patricia","F","lousy",0.22797479,"Bad"
"Patricia","F","sad",0.33314627,"Bad"
"Patricia","F","hate",0.25971982,"Bad"
"Patricia","F","violent",0.085566215,"Bad"
"Patricia","F","bitter",0.24542058,"Bad"
"Patricia","F","harsh",0.27358568,"Bad"
"Patricia","F","angry",0.22958194,"Bad"
"Jennifer","F","rude",0.26556557,"Bad"
