"Name","Race","Word","CosineSimilarity","Good_or_Bad"
"Reggie","Black","gentle",0.28260136,"Good"
"Reggie","Black","approachable",0.33643478,"Good"
"Reggie","Black","love",0.32597518,"Good"
"Reggie","Black","cool",0.35627455,"Good"
"Jada","Black","happy",0.5580185,"Good"
"Jada","Black","agreeable",0.6953193,"Good"
"Jada","Black","polite",0.5622758,"Good"
"Jada","Black","civil",0.7041555,"Good"
"Jada","Black","charming",0.5893135,"Good"
"Jada","Black","gracious",0.6695005,"Good"
"Jada","Black","gentle",0.47522098,"Good"
"Jada","Black","approachable",0.7023995,"Good"
"Jada","Black","love",0.56104755,"Good"
"Jada","Black","cool",0.63622904,"Good"
"Latoya","Black","happy",0.22607292,"Good"
"Latoya","Black","agreeable",0.31249744,"Good"
"Latoya","Black","polite",0.27487612,"Good"
"Latoya","Black","civil",0.47064176,"Good"
"Latoya","Black","charming",0.3004844,"Good"
"Latoya","Black","gracious",0.34987473,"Good"
"Latoya","Black","gentle",0.357235,"Good"
"Latoya","Black","approachable",0.40990895,"Good"
"Latoya","Black","love",0.36399758,"Good"
"Latoya","Black","cool",0.24587007,"Good"
"Jayla","Black","happy",0.27157062,"Good"
"Jayla","Black","agreeable",0.35021484,"Good"
"Jayla","Black","polite",0.26812053,"Good"
"Jayla","Black","civil",0.42021027,"Good"
"Jayla","Black","charming",0.2618476,"Good"
"Jayla","Black","gracious",0.33950087,"Good"
"Jayla","Black","gentle",0.29145128,"Good"
"Jayla","Black","approachable",0.43393612,"Good"
"Jayla","Black","love",0.32835206,"Good"
"Jayla","Black","cool",0.28328192,"Good"
"Tamika","Black","happy",0.33613595,"Good"
"Tamika","Black","agreeable",0.443454,"Good"
"Tamika","Black","polite",0.36255813,"Good"
"Tamika","Black","civil",0.5580425,"Good"
"Tamika","Black","charming",0.3645735,"Good"
"Tamika","Black","gracious",0.46922848,"Good"
"Tamika","Black","gentle",0.38623053,"Good"
"Tamika","Black","approachable",0.53111833,"Good"
"Tamika","Black","love",0.3999744,"Good"
"Tamika","Black","cool",0.40185374,"Good"
"Latoyna","Black","happy",0.20876393,"Good"
"Latoyna","Black","agreeable",0.30285358,"Good"
"Latoyna","Black","polite",0.28368998,"Good"
"Latoyna","Black","civil",0.465787,"Good"
"Latoyna","Black","charming",0.29093248,"Good"
"Latoyna","Black","gracious",0.33423245,"Good"
"Latoyna","Black","gentle",0.33283204,"Good"
"Latoyna","Black","approachable",0.37924945,"Good"
"Latoyna","Black","love",0.35581738,"Good"
"Latoyna","Black","cool",0.24023119,"Good"
"Journey","Black","happy",0.21531829,"Good"
"Journey","Black","agreeable",0.26249152,"Good"
"Journey","Black","polite",0.23115763,"Good"
"Journey","Black","civil",0.35841745,"Good"
"Journey","Black","charming",0.2512019,"Good"
"Journey","Black","gracious",0.28018278,"Good"
"Journey","Black","gentle",0.24740139,"Good"
"Journey","Black","approachable",0.42828703,"Good"
"Journey","Black","love",0.27901357,"Good"
"Journey","Black","cool",0.2689141,"Good"
"Tameka","Black","happy",0.45385763,"Good"
"Tameka","Black","agreeable",0.5873742,"Good"
"Tameka","Black","polite",0.49294662,"Good"
"Tameka","Black","civil",0.7014622,"Good"
"Tameka","Black","charming",0.49360317,"Good"
"Tameka","Black","gracious",0.6028281,"Good"
"Tameka","Black","gentle",0.48875356,"Good"
"Tameka","Black","approachable",0.6516154,"Good"
"Tameka","Black","love",0.5225945,"Good"
"Tameka","Black","cool",0.5522827,"Good"
"Journee","Black","happy",0.42477518,"Good"
"Journee","Black","agreeable",0.50605506,"Good"
"Journee","Black","polite",0.40649983,"Good"
"Journee","Black","civil",0.631484,"Good"
"Journee","Black","charming",0.4309684,"Good"
"Journee","Black","gracious",0.55921614,"Good"
"Journee","Black","gentle",0.3797317,"Good"
"Journee","Black","approachable",0.59778386,"Good"
"Journee","Black","love",0.4597775,"Good"
"Journee","Black","cool",0.46152458,"Good"
"Lawanda","Black","happy",0.20318967,"Good"
"Lawanda","Black","agreeable",0.33587536,"Good"
"Lawanda","Black","polite",0.21939993,"Good"
"Lawanda","Black","civil",0.41670695,"Good"
"Lawanda","Black","charming",0.24221998,"Good"
"Lawanda","Black","gracious",0.3501842,"Good"
"Lawanda","Black","gentle",0.25291973,"Good"
"Lawanda","Black","approachable",0.3944275,"Good"
"Lawanda","Black","love",0.2889567,"Good"
"Lawanda","Black","cool",0.29065168,"Good"
"Janiya","Black","happy",0.3074598,"Good"
"Janiya","Black","agreeable",0.36551565,"Good"
"Janiya","Black","polite",0.35077885,"Good"
"Janiya","Black","civil",0.49900064,"Good"
"Janiya","Black","charming",0.34158158,"Good"
"Janiya","Black","gracious",0.3923651,"Good"
"Janiya","Black","gentle",0.3458059,"Good"
"Janiya","Black","approachable",0.43431133,"Good"
"Janiya","Black","love",0.3675893,"Good"
"Janiya","Black","cool",0.33825642,"Good"
"James","White","happy",0.26432312,"Good"
"James","White","agreeable",0.2850212,"Good"
"James","White","polite",0.23853268,"Good"
"James","White","civil",0.4045049,"Good"
"James","White","charming",0.24950668,"Good"
"James","White","gracious",0.3316705,"Good"
"James","White","gentle",0.2604733,"Good"
"James","White","approachable",0.32837224,"Good"
"James","White","love",0.34697825,"Good"
"James","White","cool",0.26980272,"Good"
"John","White","happy",0.2639168,"Good"
"John","White","agreeable",0.3082859,"Good"
"John","White","polite",0.21840453,"Good"
"John","White","civil",0.43245417,"Good"
"John","White","charming",0.21975994,"Good"
"John","White","gracious",0.3408131,"Good"
"John","White","gentle",0.24821685,"Good"
"John","White","approachable",0.32975274,"Good"
"John","White","love",0.34264314,"Good"
"John","White","cool",0.3609684,"Good"
"Robert","White","happy",0.15916398,"Good"
"Robert","White","agreeable",0.21073428,"Good"
"Robert","White","polite",0.21570513,"Good"
"Robert","White","civil",0.27465034,"Good"
"Robert","White","charming",0.1272277,"Good"
"Robert","White","gracious",0.27230167,"Good"
"Robert","White","gentle",0.22711629,"Good"
"Robert","White","approachable",0.28596747,"Good"
"Robert","White","love",0.25233507,"Good"
"Robert","White","cool",0.20232472,"Good"
"Michael","White","happy",0.33625138,"Good"
"Michael","White","agreeable",0.33914006,"Good"
"Michael","White","polite",0.3163634,"Good"
"Michael","White","civil",0.52287275,"Good"
"Michael","White","charming",0.3478049,"Good"
"Michael","White","gracious",0.48747677,"Good"
"Michael","White","gentle",0.28458756,"Good"
"Michael","White","approachable",0.4401947,"Good"
"Michael","White","love",0.32777095,"Good"
"Michael","White","cool",0.3522959,"Good"
"William","White","happy",0.18822092,"Good"
"William","White","agreeable",0.22007972,"Good"
"William","White","polite",0.11572665,"Good"
"William","White","civil",0.36174583,"Good"
"William","White","charming",0.20707516,"Good"
"William","White","gracious",0.29601163,"Good"
"William","White","gentle",0.1618242,"Good"
"William","White","approachable",0.2687218,"Good"
"William","White","love",0.29312193,"Good"
"William","White","cool",0.23866513,"Good"
"David","White","happy",0.23833655,"Good"
"David","White","agreeable",0.33634537,"Good"
"David","White","polite",0.30900776,"Good"
"David","White","civil",0.45902675,"Good"
"David","White","charming",0.24880782,"Good"
"David","White","gracious",0.342114,"Good"
"David","White","gentle",0.30751342,"Good"
"David","White","approachable",0.34633017,"Good"
"David","White","love",0.3511923,"Good"
"David","White","cool",0.30911863,"Good"
"Joseph","White","happy",0.23137826,"Good"
"Joseph","White","agreeable",0.28873366,"Good"
"Joseph","White","polite",0.22329372,"Good"
"Joseph","White","civil",0.32501912,"Good"
"Joseph","White","charming",0.18530455,"Good"
"Joseph","White","gracious",0.33460975,"Good"
"Joseph","White","gentle",0.1540342,"Good"
"Joseph","White","approachable",0.30573934,"Good"
"Joseph","White","love",0.25099245,"Good"
"Joseph","White","cool",0.21738413,"Good"
"Richard","White","happy",0.10880166,"Good"
"Richard","White","agreeable",0.170773,"Good"
"Richard","White","polite",0.13242668,"Good"
"Richard","White","civil",0.24783126,"Good"
"Richard","White","charming",0.1033667,"Good"
"Richard","White","gracious",0.2479958,"Good"
"Richard","White","gentle",0.09759949,"Good"
"Richard","White","approachable",0.19752683,"Good"
"Richard","White","love",0.21275857,"Good"
"Richard","White","cool",0.13344291,"Good"
"Charles","White","happy",0.24169353,"Good"
"Charles","White","agreeable",0.3079599,"Good"
"Charles","White","polite",0.26763418,"Good"
"Charles","White","civil",0.3918221,"Good"
"Charles","White","charming",0.31061703,"Good"
"Charles","White","gracious",0.40368313,"Good"
"Charles","White","gentle",0.28764707,"Good"
"Charles","White","approachable",0.3962986,"Good"
"Charles","White","love",0.34859836,"Good"
"Charles","White","cool",0.2649699,"Good"
"Thomas","White","happy",0.19456469,"Good"
"Thomas","White","agreeable",0.28964508,"Good"
"Thomas","White","polite",0.2728754,"Good"
"Thomas","White","civil",0.43060777,"Good"
"Thomas","White","charming",0.17953148,"Good"
"Thomas","White","gracious",0.34403092,"Good"
"Thomas","White","gentle",0.19752121,"Good"
"Thomas","White","approachable",0.37115502,"Good"
"Thomas","White","love",0.2535602,"Good"
"Thomas","White","cool",0.26524004,"Good"
"Mary","White","happy",0.253565,"Good"
"Mary","White","agreeable",0.31178445,"Good"
"Mary","White","polite",0.28363204,"Good"
"Mary","White","civil",0.44033712,"Good"
"Mary","White","charming",0.26225048,"Good"
"Mary","White","gracious",0.44423962,"Good"
"Mary","White","gentle",0.3372403,"Good"
"Mary","White","approachable",0.35712558,"Good"
"Mary","White","love",0.36752033,"Good"
"Mary","White","cool",0.26120588,"Good"
"Elizabeth","White","happy",0.06612611,"Good"
"Elizabeth","White","agreeable",0.23639208,"Good"
"Elizabeth","White","polite",0.26802188,"Good"
"Elizabeth","White","civil",0.38609046,"Good"
"Elizabeth","White","charming",0.15841071,"Good"
"Elizabeth","White","gracious",0.24409309,"Good"
"Elizabeth","White","gentle",0.30147398,"Good"
"Elizabeth","White","approachable",0.28947657,"Good"
"Elizabeth","White","love",0.2578113,"Good"
"Elizabeth","White","cool",0.20023036,"Good"
"Patricia","White","happy",0.24977978,"Good"
"Patricia","White","agreeable",0.3542248,"Good"
"Patricia","White","polite",0.4315763,"Good"
"Patricia","White","civil",0.57555145,"Good"
"Patricia","White","charming",0.2864222,"Good"
"Patricia","White","gracious",0.39063734,"Good"
"Patricia","White","gentle",0.38500705,"Good"
"Patricia","White","approachable",0.38352406,"Good"
"Patricia","White","love",0.2611066,"Good"
"Patricia","White","cool",0.36665615,"Good"
"Jennifer","White","happy",0.28470394,"Good"
"Jennifer","White","agreeable",0.3507586,"Good"
"Jennifer","White","polite",0.37309062,"Good"
"Jennifer","White","civil",0.55700636,"Good"
"Jennifer","White","charming",0.363007,"Good"
"Jennifer","White","gracious",0.39644128,"Good"
"Jennifer","White","gentle",0.39640743,"Good"
"Jennifer","White","approachable",0.32754853,"Good"
"Jennifer","White","love",0.30841893,"Good"
"Jennifer","White","cool",0.36252353,"Good"
"Linda","White","happy",0.27752554,"Good"
"Linda","White","agreeable",0.4139093,"Good"
"Linda","White","polite",0.41652045,"Good"
"Linda","White","civil",0.55209446,"Good"
"Linda","White","charming",0.33119142,"Good"
"Linda","White","gracious",0.42101562,"Good"
"Linda","White","gentle",0.5102862,"Good"
"Linda","White","approachable",0.3996337,"Good"
"Linda","White","love",0.3960383,"Good"
"Linda","White","cool",0.48827633,"Good"
"Barbara","White","happy",0.23249182,"Good"
"Barbara","White","agreeable",0.2933902,"Good"
"Barbara","White","polite",0.30999386,"Good"
"Barbara","White","civil",0.45846507,"Good"
"Barbara","White","charming",0.24779609,"Good"
"Barbara","White","gracious",0.39190918,"Good"
"Barbara","White","gentle",0.37161422,"Good"
"Barbara","White","approachable",0.3088627,"Good"
"Barbara","White","love",0.3491881,"Good"
"Barbara","White","cool",0.36044416,"Good"
"Margaret","White","happy",0.2055891,"Good"
"Margaret","White","agreeable",0.38156682,"Good"
"Margaret","White","polite",0.42142713,"Good"
"Margaret","White","civil",0.527692,"Good"
"Margaret","White","charming",0.29781085,"Good"
"Margaret","White","gracious",0.4158915,"Good"
"Margaret","White","gentle",0.42034227,"Good"
"Margaret","White","approachable",0.38927704,"Good"
"Margaret","White","love",0.3947124,"Good"
"Margaret","White","cool",0.31359708,"Good"
"Susan","White","happy",0.2739263,"Good"
"Susan","White","agreeable",0.39011273,"Good"
"Susan","White","polite",0.43012363,"Good"
"Susan","White","civil",0.5015816,"Good"
"Susan","White","charming",0.3568727,"Good"
"Susan","White","gracious",0.38844615,"Good"
"Susan","White","gentle",0.36231115,"Good"
"Susan","White","approachable",0.39264667,"Good"
"Susan","White","love",0.35587415,"Good"
"Susan","White","cool",0.35617766,"Good"
"Sarah","White","happy",0.2999646,"Good"
"Sarah","White","agreeable",0.34604555,"Good"
"Sarah","White","polite",0.34378037,"Good"
"Sarah","White","civil",0.52776223,"Good"
"Sarah","White","charming",0.35281545,"Good"
"Sarah","White","gracious",0.42535266,"Good"
"Sarah","White","gentle",0.3258592,"Good"
"Sarah","White","approachable",0.45958883,"Good"
"Sarah","White","love",0.33186954,"Good"
"Sarah","White","cool",0.32568938,"Good"
"Jessica","White","happy",0.18992156,"Good"
"Jessica","White","agreeable",0.30672944,"Good"
"Jessica","White","polite",0.2658331,"Good"
"Jessica","White","civil",0.42696878,"Good"
"Jessica","White","charming",0.2025604,"Good"
"Jessica","White","gracious",0.32402432,"Good"
"Jessica","White","gentle",0.25386912,"Good"
"Jessica","White","approachable",0.27510494,"Good"
"Jessica","White","love",0.27477226,"Good"
"Jessica","White","cool",0.30674434,"Good"
"Paul","Latinx","happy",0.20306039,"Good"
"Paul","Latinx","agreeable",0.27741006,"Good"
"Paul","Latinx","polite",0.28490713,"Good"
"Paul","Latinx","civil",0.3814339,"Good"
"Paul","Latinx","charming",0.2943709,"Good"
"Paul","Latinx","gracious",0.3333336,"Good"
"Paul","Latinx","gentle",0.27095473,"Good"
"Paul","Latinx","approachable",0.3199385,"Good"
"Paul","Latinx","love",0.29947677,"Good"
"Paul","Latinx","cool",0.3226576,"Good"
"Vincent","Latinx","happy",0.24587029,"Good"
"Vincent","Latinx","agreeable",0.27756265,"Good"
"Vincent","Latinx","polite",0.24746265,"Good"
"Vincent","Latinx","civil",0.38061535,"Good"
"Vincent","Latinx","charming",0.18704866,"Good"
"Vincent","Latinx","gracious",0.29930907,"Good"
"Vincent","Latinx","gentle",0.2873776,"Good"
"Vincent","Latinx","approachable",0.29779747,"Good"
"Vincent","Latinx","love",0.31732112,"Good"
"Vincent","Latinx","cool",0.29634804,"Good"
"Victor","Latinx","happy",0.28691897,"Good"
"Victor","Latinx","agreeable",0.38457173,"Good"
"Victor","Latinx","polite",0.30749774,"Good"
"Victor","Latinx","civil",0.38768953,"Good"
"Victor","Latinx","charming",0.35251838,"Good"
"Victor","Latinx","gracious",0.39743882,"Good"
"Victor","Latinx","gentle",0.26537195,"Good"
"Victor","Latinx","approachable",0.34217286,"Good"
"Victor","Latinx","love",0.27248836,"Good"
"Victor","Latinx","cool",0.38690823,"Good"
"Adrian","Latinx","happy",0.3524797,"Good"
"Adrian","Latinx","agreeable",0.43966863,"Good"
"Adrian","Latinx","polite",0.42137873,"Good"
"Adrian","Latinx","civil",0.5294336,"Good"
"Adrian","Latinx","charming",0.41657585,"Good"
"Adrian","Latinx","gracious",0.43491483,"Good"
"Adrian","Latinx","gentle",0.3407715,"Good"
"Adrian","Latinx","approachable",0.53893167,"Good"
"Adrian","Latinx","love",0.330587,"Good"
"Adrian","Latinx","cool",0.4444291,"Good"
"Marcus","Latinx","happy",0.21128732,"Good"
"Marcus","Latinx","agreeable",0.2999887,"Good"
"Marcus","Latinx","polite",0.31295013,"Good"
"Marcus","Latinx","civil",0.36738855,"Good"
"Marcus","Latinx","charming",0.22048397,"Good"
"Marcus","Latinx","gracious",0.36790264,"Good"
"Marcus","Latinx","gentle",0.1667711,"Good"
"Marcus","Latinx","approachable",0.3249815,"Good"
"Marcus","Latinx","love",0.30754492,"Good"
"Marcus","Latinx","cool",0.26116043,"Good"
"Leo","Latinx","happy",0.4646542,"Good"
"Leo","Latinx","agreeable",0.47299004,"Good"
"Leo","Latinx","polite",0.32164133,"Good"
"Leo","Latinx","civil",0.5148756,"Good"
"Leo","Latinx","charming",0.42902476,"Good"
"Leo","Latinx","gracious",0.49593008,"Good"
"Leo","Latinx","gentle",0.28597212,"Good"
"Leo","Latinx","approachable",0.47131833,"Good"
"Leo","Latinx","love",0.45813513,"Good"
"Leo","Latinx","cool",0.47415492,"Good"
"Miles","Latinx","happy",0.3182506,"Good"
"Miles","Latinx","agreeable",0.37496242,"Good"
"Miles","Latinx","polite",0.23390979,"Good"
"Miles","Latinx","civil",0.3882783,"Good"
"Miles","Latinx","charming",0.30565518,"Good"
"Miles","Latinx","gracious",0.39453858,"Good"
"Miles","Latinx","gentle",0.1796242,"Good"
"Miles","Latinx","approachable",0.38036984,"Good"
"Miles","Latinx","love",0.40581,"Good"
"Miles","Latinx","cool",0.34669578,"Good"
"Roman","Latinx","happy",0.22192693,"Good"
"Roman","Latinx","agreeable",0.25654948,"Good"
"Roman","Latinx","polite",0.26548254,"Good"
"Roman","Latinx","civil",0.4087093,"Good"
"Roman","Latinx","charming",0.21275677,"Good"
"Roman","Latinx","gracious",0.33393574,"Good"
"Roman","Latinx","gentle",0.21870357,"Good"
"Roman","Latinx","approachable",0.25158042,"Good"
"Roman","Latinx","love",0.25079787,"Good"
"Roman","Latinx","cool",0.2941544,"Good"
"Sergio","Latinx","happy",0.22839043,"Good"
"Sergio","Latinx","agreeable",0.26925814,"Good"
"Sergio","Latinx","polite",0.23494896,"Good"
"Sergio","Latinx","civil",0.30293754,"Good"
"Sergio","Latinx","charming",0.18942904,"Good"
"Sergio","Latinx","gracious",0.25156257,"Good"
"Sergio","Latinx","gentle",0.18069854,"Good"
"Sergio","Latinx","approachable",0.23481938,"Good"
"Sergio","Latinx","love",0.18420817,"Good"
"Sergio","Latinx","cool",0.30790722,"Good"
"Felix","Latinx","happy",0.28111157,"Good"
"Felix","Latinx","agreeable",0.34336144,"Good"
"Felix","Latinx","polite",0.34101725,"Good"
"Felix","Latinx","civil",0.3749253,"Good"
"Felix","Latinx","charming",0.41078568,"Good"
"Felix","Latinx","gracious",0.34316862,"Good"
"Felix","Latinx","gentle",0.24355169,"Good"
"Felix","Latinx","approachable",0.31496796,"Good"
"Felix","Latinx","love",0.29418188,"Good"
"Felix","Latinx","cool",0.30427212,"Good"
"Patricia","Latinx","happy",0.24977969,"Good"
"Patricia","Latinx","agreeable",0.35422474,"Good"
"Patricia","Latinx","polite",0.43157625,"Good"
"Patricia","Latinx","civil",0.57555133,"Good"
"Patricia","Latinx","charming",0.28642207,"Good"
"Patricia","Latinx","gracious",0.39063722,"Good"
"Patricia","Latinx","gentle",0.38500696,"Good"
"Patricia","Latinx","approachable",0.383524,"Good"
"Patricia","Latinx","love",0.26110655,"Good"
"Patricia","Latinx","cool",0.36665606,"Good"
"Laura","Latinx","happy",0.19690324,"Good"
"Laura","Latinx","agreeable",0.30145788,"Good"
"Laura","Latinx","polite",0.36246198,"Good"
"Laura","Latinx","civil",0.36900812,"Good"
"Laura","Latinx","charming",0.27054307,"Good"
"Laura","Latinx","gracious",0.29894343,"Good"
"Laura","Latinx","gentle",0.31366143,"Good"
"Laura","Latinx","approachable",0.38932776,"Good"
"Laura","Latinx","love",0.30123994,"Good"
"Laura","Latinx","cool",0.30615306,"Good"
"Amanda","Latinx","happy",0.2658009,"Good"
"Amanda","Latinx","agreeable",0.362943,"Good"
"Amanda","Latinx","polite",0.34652233,"Good"
"Amanda","Latinx","civil",0.51276505,"Good"
"Amanda","Latinx","charming",0.29871577,"Good"
"Amanda","Latinx","gracious",0.41134697,"Good"
"Amanda","Latinx","gentle",0.28916863,"Good"
"Amanda","Latinx","approachable",0.35010618,"Good"
"Amanda","Latinx","love",0.30676937,"Good"
"Amanda","Latinx","cool",0.37232006,"Good"
"Victoria","Latinx","happy",0.06248039,"Good"
"Victoria","Latinx","agreeable",0.19509113,"Good"
"Victoria","Latinx","polite",0.19033127,"Good"
"Victoria","Latinx","civil",0.28977504,"Good"
"Victoria","Latinx","charming",0.19358152,"Good"
"Victoria","Latinx","gracious",0.27575624,"Good"
"Victoria","Latinx","gentle",0.2255724,"Good"
"Victoria","Latinx","approachable",0.29214102,"Good"
"Victoria","Latinx","love",0.23073879,"Good"
"Victoria","Latinx","cool",0.21743713,"Good"
"Julia","Latinx","happy",0.25797984,"Good"
"Julia","Latinx","agreeable",0.360039,"Good"
"Julia","Latinx","polite",0.4090643,"Good"
"Julia","Latinx","civil",0.49780208,"Good"
"Julia","Latinx","charming",0.35534182,"Good"
"Julia","Latinx","gracious",0.44202426,"Good"
"Julia","Latinx","gentle",0.35716474,"Good"
"Julia","Latinx","approachable",0.41194513,"Good"
"Julia","Latinx","love",0.3524546,"Good"
"Julia","Latinx","cool",0.30153954,"Good"
"Gloria","Latinx","happy",0.37588263,"Good"
"Gloria","Latinx","agreeable",0.41074383,"Good"
"Gloria","Latinx","polite",0.3595595,"Good"
"Gloria","Latinx","civil",0.52108526,"Good"
"Gloria","Latinx","charming",0.38358372,"Good"
"Gloria","Latinx","gracious",0.5068412,"Good"
"Gloria","Latinx","gentle",0.40910727,"Good"
"Gloria","Latinx","approachable",0.41009796,"Good"
"Gloria","Latinx","love",0.50862557,"Good"
"Gloria","Latinx","cool",0.47182196,"Good"
"Diana","Latinx","happy",0.2791625,"Good"
"Diana","Latinx","agreeable",0.32898974,"Good"
"Diana","Latinx","polite",0.3110711,"Good"
"Diana","Latinx","civil",0.43738878,"Good"
"Diana","Latinx","charming",0.35572398,"Good"
"Diana","Latinx","gracious",0.37703267,"Good"
"Diana","Latinx","gentle",0.42828456,"Good"
"Diana","Latinx","approachable",0.37281513,"Good"
"Diana","Latinx","love",0.34626305,"Good"
"Diana","Latinx","cool",0.39876002,"Good"
"Clara","Latinx","happy",0.18281998,"Good"
"Clara","Latinx","agreeable",0.23591015,"Good"
"Clara","Latinx","polite",0.30608255,"Good"
"Clara","Latinx","civil",0.35448,"Good"
"Clara","Latinx","charming",0.29216313,"Good"
"Clara","Latinx","gracious",0.2844081,"Good"
"Clara","Latinx","gentle",0.3154697,"Good"
"Clara","Latinx","approachable",0.2841934,"Good"
"Clara","Latinx","love",0.22266522,"Good"
"Clara","Latinx","cool",0.28868437,"Good"
"Paula","Latinx","happy",0.35140336,"Good"
"Paula","Latinx","agreeable",0.36480525,"Good"
"Paula","Latinx","polite",0.34641153,"Good"
"Paula","Latinx","civil",0.42707247,"Good"
"Paula","Latinx","charming",0.30297595,"Good"
"Paula","Latinx","gracious",0.3876074,"Good"
"Paula","Latinx","gentle",0.3008312,"Good"
"Paula","Latinx","approachable",0.41465098,"Good"
"Paula","Latinx","love",0.41427186,"Good"
"Paula","Latinx","cool",0.40542686,"Good"
"Norma","Latinx","happy",0.3264737,"Good"
"Norma","Latinx","agreeable",0.48034373,"Good"
"Norma","Latinx","polite",0.4461205,"Good"
"Norma","Latinx","civil",0.65812206,"Good"
"Norma","Latinx","charming",0.37908563,"Good"
"Norma","Latinx","gracious",0.4371347,"Good"
"Norma","Latinx","gentle",0.4705422,"Good"
"Norma","Latinx","approachable",0.5086946,"Good"
"Norma","Latinx","love",0.33954847,"Good"
"Norma","Latinx","cool",0.49836344,"Good"
